name,width_depleted,orientation,critical_depth,width_max,offset,tilt,gain,critical_depth_min,critical_depth_max,width_max_min,width_max_max,width_depleted_preferred
2014-08-23-613,0.75,1,0.350,5.50,0.050,-0.0300,20.153,0.300,0.450,5.00,7.00,1.75
2014-08-23-614,0.75,1,0.350,7.00,-0.050,0.0000,57.844,0.350,0.400,6.50,7.00,0.25
2014-08-23-615,0.75,1,0.500,5.50,-0.050,0.0000,28.817,0.450,0.500,5.50,5.50,0.00
2014-08-23-616,0.75,-1,0.350,6.00,0.000,-0.0150,33.267,0.350,0.350,6.00,6.00,0.75
2014-08-23-617,0.75,1,0.400,6.50,-0.050,-0.0300,63.628,0.400,0.400,6.50,6.50,0.50
2014-08-23-618,0.75,-1,0.900,2.00,0.200,-0.0150,13.063,0.750,0.900,2.00,2.50,1.00
2014-08-23-619,0.75,1,0.350,3.50,0.300,-0.0150,6.358,0.350,0.550,3.50,4.00,0.00
2014-08-23-620,0.75,-1,0.450,5.50,0.000,0.0000,49.892,0.450,0.450,5.50,5.50,1.50
2014-08-23-621,0.75,1,0.400,5.50,0.050,-0.0150,27.326,0.350,0.400,5.50,7.50,1.00
2014-08-23-622,0.75,-1,0.600,2.00,-0.050,0.0000,29.820,0.550,0.600,2.00,2.50,1.25
2014-08-23-623,0.75,-1,0.250,3.00,-0.600,-0.0300,3.079,0.250,0.250,3.00,3.00,0.00
2014-08-23-624,0.75,1,0.850,6.50,-0.050,0.0000,27.606,0.750,0.850,6.00,6.50,2.00
2014-08-23-625,0.75,-1,0.200,6.00,0.050,-0.0150,2.884,0.050,0.250,1.00,8.50,0.00
2014-08-23-626,0.75,-1,0.450,5.50,0.050,-0.0300,72.275,0.400,0.450,4.50,6.00,1.00
2014-08-23-627,0.75,1,0.450,5.50,0.050,0.0000,57.257,0.450,0.450,5.50,5.50,1.00
2014-08-23-628,0.75,-1,0.550,2.50,-0.050,0.0300,23.926,0.550,0.550,2.50,2.50,0.00
2014-08-23-629,0.75,-1,0.450,5.50,-0.050,-0.0150,46.501,0.450,0.450,5.00,5.50,1.25
2014-08-23-630,0.75,-1,0.400,4.50,-0.100,0.0300,31.980,0.400,0.450,4.50,4.50,0.75
2014-08-23-631,0.75,-1,0.700,1.50,-0.150,-0.0300,2.116,0.250,0.900,1.00,2.00,0.50
2014-08-23-632,0.75,-1,0.200,4.50,0.150,0.0150,-2.339,0.200,0.250,1.00,5.00,0.25
2014-08-23-633,0.75,1,0.600,5.50,0.200,-0.0300,17.822,0.600,0.600,5.50,5.50,0.75
2014-08-23-634,0.75,-1,0.200,7.50,0.300,-0.0300,13.414,0.000,0.450,0.00,10.00,1.50
2014-08-23-635,0.75,-1,0.000,0.00,0.450,0.0300,1.676,0.000,0.300,0.00,10.00,0.25
2014-08-23-636,0.75,-1,0.450,7.50,-0.050,-0.0300,40.768,0.450,0.450,7.50,7.50,1.00
2014-08-23-637,0.75,-1,0.150,5.50,0.000,0.0000,17.583,0.150,0.250,4.50,6.50,0.00
2014-08-23-638,0.75,-1,0.450,9.00,-0.200,-0.0300,1.099,0.400,0.450,5.50,9.50,0.00
2014-08-23-639,0.75,1,0.400,7.00,0.000,-0.0150,60.977,0.400,0.400,7.00,7.00,0.75
2014-08-23-640,0.75,1,0.350,5.00,0.000,0.0150,30.176,0.250,0.450,5.00,5.00,0.50
2014-08-23-641,0.75,-1,0.450,5.50,0.100,-0.0150,62.029,0.400,0.450,5.00,6.50,0.75
2014-08-23-642,0.75,-1,0.450,3.00,-0.100,0.0150,16.850,0.450,0.950,2.50,3.50,2.50
2014-08-23-643,0.75,-1,0.400,5.50,0.050,-0.0150,83.486,0.400,0.400,5.50,5.50,0.00
